"STPSxx-SPCT Inductif_31029_20180705_114845.csv"
CO06S2S5
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"05/06/2018 12:00:00";17,36;0,90;37,29
"05/06/2018 13:00:00";17,71;0,91;37,30
"05/06/2018 14:00:00";17,99;0,90;37,30
"05/06/2018 15:00:00";18,29;0,89;37,31
"05/06/2018 16:00:00";18,55;0,90;37,32
"05/06/2018 17:00:00";18,85;0,89;37,33
"05/06/2018 18:00:00";19,09;0,89;37,33
"05/06/2018 19:00:00";19,03;0,89;37,34
"05/06/2018 20:00:00";18,93;0,89;37,34
"05/06/2018 21:00:00";18,70;0,90;37,36
"05/06/2018 22:00:00";18,50;0,91;37,33
"05/06/2018 23:00:00";18,15;0,91;37,29
"06/06/2018 00:00:00";17,86;0,91;37,30
"06/06/2018 01:00:00";17,62;0,91;37,31
"06/06/2018 02:00:00";17,36;0,90;37,30
"06/06/2018 03:00:00";17,10;0,90;37,31
"06/06/2018 04:00:00";16,83;0,90;37,02
"06/06/2018 05:00:00";16,56;0,89;37,04
"06/06/2018 06:00:00";16,46;0,90;37,07
"06/06/2018 07:00:00";16,27;0,90;37,35
"06/06/2018 08:00:00";16,24;0,91;37,33
"06/06/2018 09:00:00";16,18;0,90;37,33
"06/06/2018 10:00:00";16,08;0,90;37,32
"06/06/2018 11:00:00";16,10;0,90;37,33
"06/06/2018 12:00:00";16,21;0,89;37,32
"06/06/2018 13:00:00";16,23;0,91;37,33
"06/06/2018 14:00:00";16,23;0,91;37,35
"06/06/2018 15:00:00";16,34;0,91;37,34
"06/06/2018 16:00:00";16,54;0,90;37,35
"06/06/2018 17:00:00";16,76;0,90;37,37
"06/06/2018 18:00:00";16,90;0,91;37,36
"06/06/2018 19:00:00";16,99;0,91;37,36
"06/06/2018 20:00:00";16,99;0,89;37,36
"06/06/2018 21:00:00";16,98;0,90;37,38
"06/06/2018 22:00:00";16,96;0,91;37,36
"06/06/2018 23:00:00";16,87;0,91;37,38
"07/06/2018 00:00:00";16,79;0,91;37,39
"07/06/2018 01:00:00";16,68;0,90;37,37
"07/06/2018 02:00:00";16,64;0,91;37,39
"07/06/2018 03:00:00";16,56;0,90;37,39
"07/06/2018 04:00:00";16,51;0,90;37,39
"07/06/2018 05:00:00";16,46;0,90;37,38
"07/06/2018 06:00:00";16,40;0,91;37,39
"07/06/2018 07:00:00";16,37;0,91;37,37
"07/06/2018 08:00:00";16,37;0,92;37,39
"07/06/2018 09:00:00";16,43;0,92;37,41
"07/06/2018 10:00:00";16,58;0,91;37,41
"07/06/2018 11:00:00";16,81;0,93;37,42
"07/06/2018 12:00:00";17,20;0,91;37,48
"07/06/2018 13:00:00";17,93;0,91;37,45
"07/06/2018 14:00:00";18,84;0,92;37,45
"07/06/2018 15:00:00";19,81;0,91;37,48
"07/06/2018 16:00:00";20,53;0,89;37,47
"07/06/2018 17:00:00";21,19;0,89;37,45
"07/06/2018 18:00:00";21,63;0,89;37,46
"07/06/2018 19:00:00";21,68;0,88;37,43
"07/06/2018 20:00:00";21,68;0,88;37,38
"07/06/2018 21:00:00";21,54;0,89;37,38
"07/06/2018 22:00:00";21,52;0,89;37,13
"07/06/2018 23:00:00";21,42;0,89;36,94
"08/06/2018 00:00:00";21,34;0,88;36,78
"08/06/2018 01:00:00";21,05;0,89;37,34
"08/06/2018 02:00:00";20,79;0,89;37,48
"08/06/2018 03:00:00";20,50;0,88;37,47
"08/06/2018 04:00:00";20,16;0,89;37,52
"08/06/2018 05:00:00";19,81;0,89;37,50
"08/06/2018 06:00:00";19,46;0,88;37,52
"08/06/2018 07:00:00";19,28;0,89;37,54
"08/06/2018 08:00:00";19,23;0,89;37,56
"08/06/2018 09:00:00";19,38;0,89;37,58
"08/06/2018 10:00:00";19,75;0,91;37,59
"08/06/2018 11:00:00";20,36;0,89;37,58
"08/06/2018 12:00:00";21,14;0,88;37,60
"08/06/2018 13:00:00";22,06;0,88;37,61
"08/06/2018 14:00:00";22,96;0,87;37,63
"08/06/2018 15:00:00";23,84;0,85;37,61
"08/06/2018 16:00:00";24,59;0,84;37,60
"08/06/2018 17:00:00";25,03;0,82;37,00
"08/06/2018 18:00:00";25,14;0,82;37,63
"08/06/2018 19:00:00";25,01;0,82;37,66
"08/06/2018 20:00:00";25,10;0,81;37,73
"08/06/2018 21:00:00";24,80;0,80;37,76
"08/06/2018 22:00:00";24,26;0,81;37,77
"08/06/2018 23:00:00";23,69;0,84;37,60
"09/06/2018 00:00:00";23,11;0,84;37,78
"09/06/2018 01:00:00";22,58;0,84;37,82
"09/06/2018 02:00:00";22,12;0,85;37,81
"09/06/2018 03:00:00";21,76;0,84;37,81
"09/06/2018 04:00:00";21,35;0,82;37,78
"09/06/2018 05:00:00";20,96;0,82;37,83
"09/06/2018 06:00:00";20,61;0,82;37,86
"09/06/2018 07:00:00";20,43;0,81;37,87
"09/06/2018 08:00:00";20,22;0,85;37,85
"09/06/2018 09:00:00";20,15;0,86;37,88
"09/06/2018 10:00:00";20,02;0,88;37,83
"09/06/2018 11:00:00";20,02;0,91;37,83
"09/06/2018 12:00:00";20,03;0,91;37,80
"09/06/2018 13:00:00";20,12;0,91;37,88
"09/06/2018 14:00:00";20,35;0,91;37,82
"09/06/2018 15:00:00";20,74;0,90;37,76
"09/06/2018 16:00:00";21,11;0,90;37,73
"09/06/2018 17:00:00";21,43;0,89;37,76
"09/06/2018 18:00:00";21,62;0,90;37,79
"09/06/2018 19:00:00";21,74;0,89;37,75
"09/06/2018 20:00:00";21,72;0,90;37,73
"09/06/2018 21:00:00";21,69;0,90;37,72
"09/06/2018 22:00:00";21,71;0,90;35,81
"09/06/2018 23:00:00";21,64;0,90;37,63
"10/06/2018 00:00:00";21,61;0,90;37,62
"10/06/2018 01:00:00";21,63;0,89;37,60
"10/06/2018 02:00:00";21,54;0,91;37,58
"10/06/2018 03:00:00";21,48;0,89;37,57
"10/06/2018 04:00:00";21,41;0,89;37,56
"10/06/2018 05:00:00";21,35;0,89;37,55
"10/06/2018 06:00:00";21,31;0,88;37,54
"10/06/2018 07:00:00";21,29;0,87;37,55
"10/06/2018 08:00:00";21,32;0,88;37,52
"10/06/2018 09:00:00";21,34;0,89;37,50
"10/06/2018 10:00:00";21,46;0,89;37,51
"10/06/2018 11:00:00";21,65;0,89;37,51
"10/06/2018 12:00:00";21,94;0,88;37,43
"10/06/2018 13:00:00";22,14;0,89;37,36
"10/06/2018 14:00:00";22,38;0,88;37,32
"10/06/2018 15:00:00";22,57;0,87;37,33
"10/06/2018 16:00:00";22,75;0,89;37,29
"10/06/2018 17:00:00";22,89;0,88;37,26
"10/06/2018 18:00:00";23,09;0,88;37,29
"10/06/2018 19:00:00";23,31;0,86;37,22
"10/06/2018 20:00:00";23,28;0,86;37,21
"10/06/2018 21:00:00";23,25;0,87;37,17
"10/06/2018 22:00:00";23,15;0,87;37,20
"10/06/2018 23:00:00";23,01;0,87;37,19
"11/06/2018 00:00:00";22,92;0,88;37,17
"11/06/2018 01:00:00";22,83;0,88;37,16
"11/06/2018 02:00:00";22,76;0,88;37,16
"11/06/2018 03:00:00";22,66;0,86;37,17
"11/06/2018 04:00:00";22,58;0,87;37,16
"11/06/2018 05:00:00";22,53;0,86;37,17
"11/06/2018 06:00:00";22,50;0,86;37,15
"11/06/2018 07:00:00";22,44;0,86;37,15
"11/06/2018 08:00:00";22,44;0,86;37,17
"11/06/2018 09:00:00";22,51;0,86;37,15
"11/06/2018 10:00:00";22,68;0,86;37,15
"11/06/2018 11:00:00";22,94;0,86;37,15
"11/06/2018 12:00:00";23,14;0,86;37,13
"11/06/2018 13:00:00";23,51;0,86;37,12
"11/06/2018 14:00:00";23,73;0,86;37,07
"11/06/2018 15:00:00";24,06;0,84;37,05
"11/06/2018 16:00:00";24,32;0,84;37,03
"11/06/2018 17:00:00";24,35;0,84;37,00
"11/06/2018 18:00:00";24,73;0,82;36,87
"11/06/2018 19:00:00";24,79;0,82;36,84
"11/06/2018 20:00:00";24,86;0,82;36,83
"11/06/2018 21:00:00";24,71;0,84;36,81
"11/06/2018 22:00:00";24,50;0,84;36,80
"11/06/2018 23:00:00";24,50;0,84;36,79
"12/06/2018 00:00:00";24,35;0,85;36,75
"12/06/2018 01:00:00";24,21;0,85;36,67
"12/06/2018 02:00:00";24,01;0,84;36,65
"12/06/2018 03:00:00";23,81;0,82;36,62
"12/06/2018 04:00:00";23,64;0,84;36,62
