"STPSxx-SPCT Inductif_31029_20190507_093827.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"05/04/2019 13:00:00";9,33;0,52;33,18
"05/04/2019 14:00:00";9,44;0,54;33,11
"05/04/2019 15:00:00";9,46;0,55;32,96
"05/04/2019 16:00:00";9,51;0,56;32,83
"05/04/2019 17:00:00";9,55;0,56;32,70
"05/04/2019 18:00:00";9,58;0,59;32,60
"05/04/2019 19:00:00";9,60;0,59;32,59
"05/04/2019 20:00:00";9,61;0,59;32,55
"05/04/2019 21:00:00";9,68;0,60;33,20
"05/04/2019 22:00:00";9,79;0,61;33,53
"05/04/2019 23:00:00";10,23;0,63;33,93
"06/04/2019 00:00:00";10,26;0,62;34,00
"06/04/2019 01:00:00";10,24;0,63;34,04
"06/04/2019 02:00:00";10,17;0,63;33,99
"06/04/2019 03:00:00";10,10;0,63;33,88
"06/04/2019 04:00:00";10,08;0,64;33,88
"06/04/2019 05:00:00";10,02;0,64;33,88
"06/04/2019 06:00:00";9,98;0,65;33,87
"06/04/2019 07:00:00";9,91;0,65;33,87
"06/04/2019 08:00:00";9,76;0,66;33,83
"06/04/2019 09:00:00";9,70;0,66;33,81
"06/04/2019 10:00:00";9,80;0,66;33,83
"06/04/2019 11:00:00";9,68;0,68;34,09
"06/04/2019 12:00:00";9,75;0,68;34,19
"06/04/2019 13:00:00";9,86;0,68;34,21
"06/04/2019 14:00:00";10,15;0,68;34,20
"06/04/2019 15:00:00";10,43;0,68;34,10
"06/04/2019 16:00:00";10,56;0,68;33,97
"06/04/2019 17:00:00";10,78;0,68;33,90
"06/04/2019 18:00:00";11,00;0,68;33,91
"06/04/2019 19:00:00";11,22;0,69;33,92
"06/04/2019 20:00:00";11,38;0,69;33,93
"06/04/2019 21:00:00";11,49;0,68;33,93
"06/04/2019 22:00:00";11,44;0,70;33,93
"06/04/2019 23:00:00";10,70;0,69;34,22
"07/04/2019 00:00:00";10,70;0,70;34,37
"07/04/2019 01:00:00";10,68;0,72;34,41
"07/04/2019 02:00:00";10,66;0,73;34,39
"07/04/2019 03:00:00";10,66;0,73;34,31
"07/04/2019 04:00:00";10,68;0,74;34,21
"07/04/2019 05:00:00";10,67;0,75;34,12
"07/04/2019 06:00:00";10,64;0,76;34,07
"07/04/2019 07:00:00";10,57;0,76;34,04
"07/04/2019 08:00:00";10,51;0,77;34,00
"07/04/2019 09:00:00";10,42;0,78;33,97
"07/04/2019 10:00:00";10,43;0,80;34,08
"07/04/2019 11:00:00";10,43;0,81;34,21
"07/04/2019 12:00:00";10,10;0,81;34,16
"07/04/2019 13:00:00";10,37;0,81;34,22
"07/04/2019 14:00:00";10,68;0,82;34,23
"07/04/2019 15:00:00";10,98;0,84;34,14
"07/04/2019 16:00:00";11,39;0,81;33,94
"07/04/2019 17:00:00";11,81;0,81;33,83
"07/04/2019 18:00:00";12,17;0,80;33,69
"07/04/2019 19:00:00";12,53;0,77;33,60
"07/04/2019 20:00:00";12,78;0,78;33,54
"07/04/2019 21:00:00";12,92;0,79;33,53
"07/04/2019 22:00:00";12,90;0,79;33,53
"07/04/2019 23:00:00";12,21;0,80;33,78
"08/04/2019 00:00:00";12,17;0,81;33,85
"08/04/2019 01:00:00";12,11;0,81;33,87
"08/04/2019 02:00:00";11,98;0,82;33,82
"08/04/2019 03:00:00";11,91;0,82;33,74
"08/04/2019 04:00:00";11,79;0,84;33,66
"08/04/2019 05:00:00";11,61;0,82;33,57
"08/04/2019 06:00:00";11,48;0,84;33,53
