"STPSxx-SPCT Inductif_31031_20191226_135455.csv"
"Claire Julien"
"sn :";31031
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (°C)";"Profondeur 30m (m)";"Salinité (g/l)"
"26/11/2019 12:00:00";10,81;0,86;31,09
"26/11/2019 13:00:00";11,08;0,85;31,09
"26/11/2019 14:00:00";11,30;0,85;31,03
"26/11/2019 15:00:00";11,43;0,82;31,04
"26/11/2019 16:00:00";11,51;0,81;31,06
"26/11/2019 17:00:00";11,46;0,80;31,05
"26/11/2019 18:00:00";11,41;0,78;31,05
"26/11/2019 19:00:00";11,28;0,86;31,13
"26/11/2019 20:00:00";11,12;0,93;31,38
"26/11/2019 21:00:00";11,17;0,92;31,23
"26/11/2019 22:00:00";11,18;0,90;31,05
"26/11/2019 23:00:00";11,13;0,87;30,97
"27/11/2019 00:00:00";11,02;0,86;30,95
"27/11/2019 01:00:00";10,93;0,83;30,96
"27/11/2019 02:00:00";10,83;0,83;30,97
"27/11/2019 03:00:00";10,78;0,82;30,98
"27/11/2019 04:00:00";10,71;0,80;31,00
"27/11/2019 05:00:00";10,63;0,80;31,00
"27/11/2019 06:00:00";10,57;0,79;31,01
"27/11/2019 07:00:00";10,47;0,80;31,02
"27/11/2019 08:00:00";10,42;0,81;31,02
"27/11/2019 09:00:00";10,39;0,83;31,04
"27/11/2019 10:00:00";10,39;0,81;31,04
"27/11/2019 11:00:00";10,45;0,75;30,97
"27/11/2019 12:00:00";10,51;0,71;30,85
"27/11/2019 13:00:00";10,59;0,71;30,80
"27/11/2019 14:00:00";10,66;0,71;30,78
"27/11/2019 15:00:00";10,70;0,71;30,74
"27/11/2019 16:00:00";10,78;0,74;30,74
"27/11/2019 17:00:00";10,73;0,74;30,72
"27/11/2019 18:00:00";10,67;0,72;30,72
"27/11/2019 19:00:00";10,64;0,74;30,72
"27/11/2019 20:00:00";10,58;0,87;30,78
"27/11/2019 21:00:00";10,54;0,92;30,59
"27/11/2019 22:00:00";10,50;0,92;30,61
"27/11/2019 23:00:00";10,42;0,91;30,59
"28/11/2019 00:00:00";10,38;0,91;30,59
"28/11/2019 01:00:00";10,31;0,91;30,59
"28/11/2019 02:00:00";10,27;0,91;30,59
"28/11/2019 03:00:00";10,26;0,90;30,56
"28/11/2019 04:00:00";10,24;0,90;30,48
"28/11/2019 05:00:00";10,18;0,90;30,50
"28/11/2019 06:00:00";10,16;0,90;30,47
"28/11/2019 07:00:00";10,12;0,89;30,39
"28/11/2019 08:00:00";10,06;0,90;30,38
"28/11/2019 09:00:00";10,10;0,93;30,59
"28/11/2019 10:00:00";10,18;0,97;30,68
"28/11/2019 11:00:00";10,20;0,95;30,37
"28/11/2019 12:00:00";10,32;0,95;30,37
"28/11/2019 13:00:00";10,47;0,95;30,37
"28/11/2019 14:00:00";10,69;0,95;30,36
"28/11/2019 15:00:00";10,65;0,94;30,35
"28/11/2019 16:00:00";10,73;0,95;30,36
"28/11/2019 17:00:00";10,62;0,95;30,35
"28/11/2019 18:00:00";10,57;0,95;30,35
"28/11/2019 19:00:00";10,54;0,95;30,33
"28/11/2019 20:00:00";10,49;0,95;30,34
"28/11/2019 21:00:00";10,65;0,98;31,46
"28/11/2019 22:00:00";10,66;0,99;31,36
"28/11/2019 23:00:00";10,66;1,01;31,37
"29/11/2019 00:00:00";10,62;1,02;31,28
"29/11/2019 01:00:00";10,54;1,02;30,69
"29/11/2019 02:00:00";10,51;1,02;30,44
"29/11/2019 03:00:00";10,44;1,03;30,34
"29/11/2019 04:00:00";10,44;1,03;30,34
"29/11/2019 05:00:00";10,44;1,01;30,34
"29/11/2019 06:00:00";10,45;1,03;30,33
"29/11/2019 07:00:00";10,45;1,03;30,34
"29/11/2019 08:00:00";10,46;1,05;30,34
"29/11/2019 09:00:00";10,62;1,06;31,36
"29/11/2019 10:00:00";10,61;1,09;31,10
"29/11/2019 11:00:00";10,83;1,10;31,14
"29/11/2019 12:00:00";10,95;1,09;30,35
"29/11/2019 13:00:00";11,10;1,09;30,37
"29/11/2019 14:00:00";11,07;1,09;30,36
"29/11/2019 15:00:00";11,11;1,09;30,33
"29/11/2019 16:00:00";11,12;1,09;30,34
"29/11/2019 17:00:00";11,07;1,10;30,31
"29/11/2019 18:00:00";10,99;1,08;30,29
"29/11/2019 19:00:00";11,00;1,08;30,31
"29/11/2019 20:00:00";10,97;1,09;30,31
"29/11/2019 21:00:00";10,98;1,09;30,32
"29/11/2019 22:00:00";10,46;1,14;30,74
"29/11/2019 23:00:00";10,44;1,10;30,20
"30/11/2019 00:00:00";10,50;1,09;30,27
"30/11/2019 01:00:00";10,53;1,08;30,36
"30/11/2019 02:00:00";10,55;1,08;30,36
"30/11/2019 03:00:00";10,55;1,06;30,36
"30/11/2019 04:00:00";10,54;1,05;30,34
"30/11/2019 05:00:00";10,45;1,04;30,30
"30/11/2019 06:00:00";9,69;1,02;29,97
"30/11/2019 07:00:00";9,16;0,99;29,88
"30/11/2019 08:00:00";8,98;0,99;29,93
"30/11/2019 09:00:00";8,77;0,99;29,91
"30/11/2019 10:00:00";8,80;1,04;30,14
"30/11/2019 11:00:00";9,09;1,02;30,13
"30/11/2019 12:00:00";8,86;1,01;30,00
"30/11/2019 13:00:00";8,81;0,98;30,01
"30/11/2019 14:00:00";8,81;0,97;30,01
"30/11/2019 15:00:00";8,91;0,97;30,01
"30/11/2019 16:00:00";8,81;0,94;30,01
"30/11/2019 17:00:00";8,76;0,94;30,02
"30/11/2019 18:00:00";8,69;0,95;30,02
"30/11/2019 19:00:00";8,64;0,94;30,05
"30/11/2019 20:00:00";8,70;0,97;30,03
"30/11/2019 21:00:00";8,61;0,94;30,04
"30/11/2019 22:00:00";8,37;0,94;30,05
"30/11/2019 23:00:00";8,33;0,94;30,05
"01/12/2019 00:00:00";8,27;0,93;30,05
"01/12/2019 01:00:00";8,19;0,93;30,03
"01/12/2019 02:00:00";8,32;0,92;30,05
"01/12/2019 03:00:00";8,32;0,92;30,04
"01/12/2019 04:00:00";8,26;0,92;30,05
"01/12/2019 05:00:00";8,17;0,91;30,01
"01/12/2019 06:00:00";7,82;0,89;29,93
"01/12/2019 07:00:00";7,72;0,90;29,94
"01/12/2019 08:00:00";7,66;0,90;29,91
"01/12/2019 09:00:00";7,57;0,91;29,90
"01/12/2019 10:00:00";7,50;0,91;29,90
"01/12/2019 11:00:00";7,53;0,92;29,89
"01/12/2019 12:00:00";7,50;0,92;29,90
"01/12/2019 13:00:00";7,53;0,92;29,90
"01/12/2019 14:00:00";7,62;0,93;29,90
"01/12/2019 15:00:00";7,69;0,92;29,89
"01/12/2019 16:00:00";7,68;0,93;29,89
"01/12/2019 17:00:00";7,52;0,93;29,89
"01/12/2019 18:00:00";7,26;0,93;29,88
"01/12/2019 19:00:00";7,08;0,94;29,88
"01/12/2019 20:00:00";6,99;0,94;29,89
"01/12/2019 21:00:00";6,91;0,94;29,88
"01/12/2019 22:00:00";6,83;0,94;29,88
"01/12/2019 23:00:00";6,86;0,94;29,87
"02/12/2019 00:00:00";6,83;0,95;29,85
"02/12/2019 01:00:00";6,71;0,97;29,86
"02/12/2019 02:00:00";6,67;0,95;29,85
"02/12/2019 03:00:00";6,62;0,94;29,86
"02/12/2019 04:00:00";6,61;0,94;29,85
"02/12/2019 05:00:00";6,57;0,94;29,85
"02/12/2019 06:00:00";6,49;0,93;29,86
"02/12/2019 07:00:00";6,37;0,94;29,86
"02/12/2019 08:00:00";6,20;0,94;29,86
"02/12/2019 09:00:00";6,02;0,94;29,87
"02/12/2019 10:00:00";5,98;0,95;29,87
"02/12/2019 11:00:00";6,14;0,94;29,86
"02/12/2019 12:00:00";6,32;0,94;29,87
"02/12/2019 13:00:00";6,59;0,94;29,86
"02/12/2019 14:00:00";6,81;0,94;29,87
"02/12/2019 15:00:00";7,00;0,94;29,88
"02/12/2019 16:00:00";7,05;0,92;29,88
"02/12/2019 17:00:00";7,01;0,93;29,87
"02/12/2019 18:00:00";6,92;0,93;29,87
"02/12/2019 19:00:00";6,74;0,93;29,86
"02/12/2019 20:00:00";6,54;0,91;29,88
"02/12/2019 21:00:00";6,47;0,91;29,89
"02/12/2019 22:00:00";6,34;0,90;29,88
"02/12/2019 23:00:00";6,10;0,89;29,87
"03/12/2019 00:00:00";5,95;0,88;29,87
"03/12/2019 01:00:00";5,79;0,88;29,87
"03/12/2019 02:00:00";5,67;0,87;29,88
"03/12/2019 03:00:00";5,46;0,85;29,87
"03/12/2019 04:00:00";5,27;0,83;29,87
"03/12/2019 05:00:00";5,25;0,82;29,88
"03/12/2019 06:00:00";5,07;0,81;29,85
"03/12/2019 07:00:00";4,89;0,80;29,89
"03/12/2019 08:00:00";4,80;0,80;29,90
"03/12/2019 09:00:00";4,65;0,79;29,90
"03/12/2019 10:00:00";4,50;0,79;29,90
"03/12/2019 11:00:00";4,78;0,79;29,89
"03/12/2019 12:00:00";5,05;0,77;29,89
"03/12/2019 13:00:00";5,43;0,78;29,87
"03/12/2019 14:00:00";5,82;0,78;29,89
"03/12/2019 15:00:00";6,13;0,77;29,90
"03/12/2019 16:00:00";6,19;0,76;29,89
"03/12/2019 17:00:00";6,14;0,75;29,89
"03/12/2019 18:00:00";5,98;0,74;29,88
"03/12/2019 19:00:00";5,76;0,74;29,89
"03/12/2019 20:00:00";5,60;0,71;29,87
"03/12/2019 21:00:00";5,39;0,70;29,91
"03/12/2019 22:00:00";5,19;0,69;29,88
"03/12/2019 23:00:00";5,10;0,67;29,91
"04/12/2019 00:00:00";4,87;0,66;29,88
"04/12/2019 01:00:00";4,61;0,66;29,88
"04/12/2019 02:00:00";4,50;0,64;29,89
"04/12/2019 03:00:00";4,11;0,62;29,90
"04/12/2019 04:00:00";3,88;0,60;29,89
"04/12/2019 05:00:00";3,79;0,59;29,88
"04/12/2019 06:00:00";3,56;0,57;29,90
"04/12/2019 07:00:00";3,50;0,57;29,89
"04/12/2019 08:00:00";3,47;0,55;29,88
"04/12/2019 09:00:00";3,38;0,56;29,88
"04/12/2019 10:00:00";3,40;0,55;29,90
"04/12/2019 11:00:00";3,55;0,56;29,89
"04/12/2019 12:00:00";3,84;0,56;29,92
"04/12/2019 13:00:00";4,07;0,57;29,92
"04/12/2019 14:00:00";4,28;0,56;29,91
"04/12/2019 15:00:00";4,46;0,55;29,92
"04/12/2019 16:00:00";4,51;0,57;29,91
"04/12/2019 17:00:00";4,48;0,55;29,92
"04/12/2019 18:00:00";4,47;0,55;29,91
"04/12/2019 19:00:00";4,43;0,55;29,90
"04/12/2019 20:00:00";4,29;0,55;29,90
"04/12/2019 21:00:00";4,27;0,55;29,90
"04/12/2019 22:00:00";4,01;0,54;29,90
"04/12/2019 23:00:00";4,01;0,54;29,90
"05/12/2019 00:00:00";3,96;0,53;29,92
"05/12/2019 01:00:00";4,00;0,53;29,89
"05/12/2019 02:00:00";4,04;0,54;29,93
"05/12/2019 03:00:00";4,05;0,54;29,93
"05/12/2019 04:00:00";4,06;0,53;29,92
"05/12/2019 05:00:00";4,06;0,53;29,90
"05/12/2019 06:00:00";3,89;0,53;29,92
"05/12/2019 07:00:00";3,70;0,53;29,90
"05/12/2019 08:00:00";3,58;0,53;29,90
"05/12/2019 09:00:00";3,56;0,52;29,92
"05/12/2019 10:00:00";3,54;0,52;29,92
"05/12/2019 11:00:00";3,71;0,54;29,92
"05/12/2019 12:00:00";4,10;0,54;29,93
"05/12/2019 13:00:00";4,78;0,54;29,91
"05/12/2019 14:00:00";5,37;0,55;29,94
"05/12/2019 15:00:00";5,65;0,54;29,93
"05/12/2019 16:00:00";5,80;0,54;29,94
"05/12/2019 17:00:00";5,77;0,54;29,92
"05/12/2019 18:00:00";5,58;0,53;29,93
"05/12/2019 19:00:00";5,45;0,52;29,93
"05/12/2019 20:00:00";5,45;0,51;29,93
"05/12/2019 21:00:00";5,47;0,51;29,94
"05/12/2019 22:00:00";5,54;0,51;29,93
"05/12/2019 23:00:00";5,52;0,48;29,93
"06/12/2019 00:00:00";5,57;0,48;29,93
"06/12/2019 01:00:00";5,60;0,47;29,93
"06/12/2019 02:00:00";5,70;0,46;29,94
"06/12/2019 03:00:00";5,84;0,45;29,94
"06/12/2019 04:00:00";5,98;0,46;29,95
"06/12/2019 05:00:00";6,06;0,44;29,92
"06/12/2019 06:00:00";6,15;0,43;29,89
"06/12/2019 07:00:00";6,32;0,43;29,83
"06/12/2019 08:00:00";6,48;0,44;29,76
"06/12/2019 09:00:00";6,65;0,44;29,72
"06/12/2019 10:00:00";6,86;0,43;29,72
"06/12/2019 11:00:00";7,15;0,43;29,72
"06/12/2019 12:00:00";7,67;0,42;29,71
"06/12/2019 13:00:00";8,14;0,41;29,72
"06/12/2019 14:00:00";8,47;0,41;29,71
"06/12/2019 15:00:00";8,83;0,41;29,59
"06/12/2019 16:00:00";9,14;0,41;29,51
"06/12/2019 17:00:00";9,30;0,40;29,35
"06/12/2019 18:00:00";9,33;0,41;29,37
"06/12/2019 19:00:00";9,39;0,42;29,36
"06/12/2019 20:00:00";9,43;0,42;29,36
"06/12/2019 21:00:00";9,43;0,42;29,36
"06/12/2019 22:00:00";9,37;0,42;29,36
"06/12/2019 23:00:00";9,33;0,42;29,25
"07/12/2019 00:00:00";9,10;0,43;29,25
"07/12/2019 01:00:00";9,15;0,43;29,23
"07/12/2019 02:00:00";9,11;0,42;29,23
"07/12/2019 03:00:00";8,99;0,41;29,21
"07/12/2019 04:00:00";8,74;0,41;29,25
"07/12/2019 05:00:00";8,71;0,42;29,25
"07/12/2019 06:00:00";8,48;0,41;29,24
"07/12/2019 07:00:00";8,50;0,41;29,25
"07/12/2019 08:00:00";8,54;0,41;29,26
"07/12/2019 09:00:00";8,62;0,42;29,25
"07/12/2019 10:00:00";8,76;0,42;29,25
"07/12/2019 11:00:00";8,94;0,43;29,25
"07/12/2019 12:00:00";9,30;0,43;29,25
"07/12/2019 13:00:00";9,91;0,44;29,27
"07/12/2019 14:00:00";10,44;0,43;29,26
"07/12/2019 15:00:00";10,69;0,42;29,26
"07/12/2019 16:00:00";10,71;0,42;29,27
"07/12/2019 17:00:00";10,54;0,42;29,27
"07/12/2019 18:00:00";10,32;0,41;29,28
"07/12/2019 19:00:00";9,99;0,41;29,29
"07/12/2019 20:00:00";9,83;0,38;29,30
"07/12/2019 21:00:00";9,65;0,38;29,30
"07/12/2019 22:00:00";9,25;0,37;29,32
"07/12/2019 23:00:00";9,01;0,34;29,33
"08/12/2019 00:00:00";9,02;0,35;29,34
"08/12/2019 01:00:00";9,01;0,33;29,35
"08/12/2019 02:00:00";8,84;0,32;29,36
"08/12/2019 03:00:00";8,82;0,30;29,38
"08/12/2019 04:00:00";8,99;0,28;29,27
"08/12/2019 05:00:00";9,24;0,29;28,40
"08/12/2019 06:00:00";9,47;0,29;27,73
"08/12/2019 07:00:00";9,76;0,30;27,50
"08/12/2019 08:00:00";9,97;0,30;27,23
"08/12/2019 09:00:00";9,71;0,30;27,34
"08/12/2019 10:00:00";9,44;0,31;27,30
"08/12/2019 11:00:00";9,60;0,30;27,25
"08/12/2019 12:00:00";9,94;0,32;27,41
"08/12/2019 13:00:00";10,46;0,32;27,47
"08/12/2019 14:00:00";10,92;0,31;27,59
"08/12/2019 15:00:00";11,19;0,30;27,66
"08/12/2019 16:00:00";10,64;0,28;27,59
"08/12/2019 17:00:00";10,03;0,26;27,66
"08/12/2019 18:00:00";9,58;0,25;27,69
"08/12/2019 19:00:00";9,17;0,24;27,75
"08/12/2019 20:00:00";8,91;0,23;27,77
"08/12/2019 21:00:00";8,55;0,22;27,81
"08/12/2019 22:00:00";8,39;0,22;27,83
"08/12/2019 23:00:00";8,32;0,19;27,87
"09/12/2019 00:00:00";8,11;0,21;27,10
"09/12/2019 01:00:00";7,83;0,20;25,97
"09/12/2019 02:00:00";7,75;0,18;26,35
"09/12/2019 03:00:00";8,03;0,18;26,41
"09/12/2019 04:00:00";8,07;0,19;25,68
"09/12/2019 05:00:00";8,00;0,20;25,74
"09/12/2019 06:00:00";8,08;0,21;25,84
"09/12/2019 07:00:00";8,16;0,22;25,90
"09/12/2019 08:00:00";8,15;0,23;25,96
"09/12/2019 09:00:00";8,17;0,26;26,01
"09/12/2019 10:00:00";8,21;0,29;26,12
"09/12/2019 11:00:00";8,34;0,31;26,19
"09/12/2019 12:00:00";8,78;0,32;26,30
"09/12/2019 13:00:00";9,37;0,35;26,40
"09/12/2019 14:00:00";9,75;0,35;26,46
"09/12/2019 15:00:00";9,62;0,37;26,56
"09/12/2019 16:00:00";9,16;0,38;26,63
"09/12/2019 17:00:00";8,48;0,37;26,70
"09/12/2019 18:00:00";7,78;0,36;26,76
"09/12/2019 19:00:00";7,32;0,36;26,79
"09/12/2019 20:00:00";6,97;0,36;26,82
"09/12/2019 21:00:00";6,87;0,35;26,73
"09/12/2019 22:00:00";6,74;0,36;26,79
"09/12/2019 23:00:00";6,39;0,36;26,83
"10/12/2019 00:00:00";6,04;0,36;26,85
"10/12/2019 01:00:00";5,37;0,35;26,84
"10/12/2019 02:00:00";5,14;0,35;26,89
"10/12/2019 03:00:00";4,50;0,33;26,89
"10/12/2019 04:00:00";4,23;0,31;26,95
"10/12/2019 05:00:00";4,17;0,31;27,00
"10/12/2019 06:00:00";4,07;0,29;27,00
"10/12/2019 07:00:00";4,29;0,30;26,81
"10/12/2019 08:00:00";4,42;0,28;26,83
"10/12/2019 09:00:00";5,07;0,30;26,98
"10/12/2019 10:00:00";5,71;0,31;27,14
"10/12/2019 11:00:00";6,58;0,31;27,17
"10/12/2019 12:00:00";7,16;0,31;27,04
"10/12/2019 13:00:00";7,60;0,30;26,78
"10/12/2019 14:00:00";7,98;0,28;26,88
"10/12/2019 15:00:00";8,43;0,28;26,91
"10/12/2019 16:00:00";8,86;0,28;26,94
"10/12/2019 17:00:00";8,88;0,25;26,96
"10/12/2019 18:00:00";8,86;0,29;26,49
"10/12/2019 19:00:00";9,11;0,51;33,07
"10/12/2019 20:00:00";9,13;0,59;32,81
"10/12/2019 21:00:00";9,19;0,57;31,24
"10/12/2019 22:00:00";9,25;0,58;30,90
"10/12/2019 23:00:00";9,22;0,59;31,04
"11/12/2019 00:00:00";9,18;0,58;30,94
"11/12/2019 01:00:00";9,15;0,58;30,90
"11/12/2019 02:00:00";9,10;0,58;30,81
"11/12/2019 03:00:00";9,08;0,57;30,53
"11/12/2019 04:00:00";9,10;0,57;30,54
"11/12/2019 05:00:00";8,99;0,56;30,19
"11/12/2019 06:00:00";8,96;0,54;30,17
"11/12/2019 07:00:00";8,27;0,67;28,83
"11/12/2019 08:00:00";8,24;0,77;29,71
"11/12/2019 09:00:00";7,75;0,65;28,99
"11/12/2019 10:00:00";7,71;0,60;29,17
