"STPSxx-SPCT Inductif_35007_20200414_154132.csv"
"Bassin Julien"
"sn :";35007
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (°C)";"Profondeur 30m (m)";"Salinité (g/l)"
"08/04/2020 13:00:00";22,80;0,11;0,01
"08/04/2020 14:00:00";16,82;0,71;26,34
"08/04/2020 15:00:00";16,93;0,71;26,50
"08/04/2020 16:00:00";17,03;0,71;26,37
"08/04/2020 17:00:00";17,27;0,70;26,42
"08/04/2020 18:00:00";18,00;0,70;26,27
"08/04/2020 19:00:00";18,06;0,70;26,26
"08/04/2020 20:00:00";17,87;0,70;26,27
"08/04/2020 21:00:00";17,47;0,70;26,26
"08/04/2020 22:00:00";17,26;0,70;26,25
"08/04/2020 23:00:00";17,07;0,71;26,24
"09/04/2020 00:00:00";16,86;0,70;26,29
"09/04/2020 01:00:00";16,64;0,70;26,32
"09/04/2020 02:00:00";16,36;0,70;26,30
"09/04/2020 03:00:00";16,14;0,70;26,31
"09/04/2020 04:00:00";15,93;0,70;26,33
"09/04/2020 05:00:00";15,63;0,70;26,36
"09/04/2020 06:00:00";15,36;0,70;26,41
"09/04/2020 07:00:00";15,17;0,70;26,46
"09/04/2020 08:00:00";15,00;0,71;26,49
"09/04/2020 09:00:00";15,09;0,71;26,49
"09/04/2020 10:00:00";15,42;0,72;26,50
"09/04/2020 11:00:00";15,96;0,71;26,51
"09/04/2020 12:00:00";16,46;0,71;26,53
"09/04/2020 13:00:00";16,98;0,70;26,56
"09/04/2020 14:00:00";17,49;0,70;26,60
"09/04/2020 15:00:00";17,82;0,70;26,59
"09/04/2020 16:00:00";17,96;0,69;26,57
"09/04/2020 17:00:00";17,81;0,69;26,50
"09/04/2020 18:00:00";17,68;0,69;26,49
"09/04/2020 19:00:00";17,51;0,69;26,50
"09/04/2020 20:00:00";17,33;0,69;26,49
"09/04/2020 21:00:00";17,26;0,70;26,50
"09/04/2020 22:00:00";17,18;0,70;26,50
"09/04/2020 23:00:00";17,11;0,70;26,53
"10/04/2020 00:00:00";17,14;0,70;26,60
"10/04/2020 01:00:00";17,17;0,69;26,64
"10/04/2020 02:00:00";17,20;0,69;26,68
"10/04/2020 03:00:00";16,94;0,69;26,70
"10/04/2020 04:00:00";16,71;0,69;26,70
"10/04/2020 05:00:00";16,38;0,69;26,67
"10/04/2020 06:00:00";16,07;0,69;26,70
