"STPSxx-SPCT Inductif_31032_20200512_102507.csv"
"Claire Maxime"
"sn :";31032
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Salinité (g/l)"
"14/04/2020 17:00:00";15,39;0,80;21,07
"14/04/2020 18:00:00";15,71;0,80;21,09
"14/04/2020 19:00:00";15,51;0,81;21,09
"14/04/2020 20:00:00";14,94;0,81;21,04
"14/04/2020 21:00:00";14,36;0,80;21,09
"14/04/2020 22:00:00";13,77;0,79;21,10
"14/04/2020 23:00:00";13,29;0,78;21,12
"15/04/2020 00:00:00";12,89;0,76;21,11
"15/04/2020 01:00:00";12,59;0,76;21,11
"15/04/2020 02:00:00";12,28;0,75;21,10
"15/04/2020 03:00:00";12,07;0,75;21,09
"15/04/2020 04:00:00";11,74;0,74;21,08
"15/04/2020 05:00:00";11,45;0,73;21,08
"15/04/2020 06:00:00";11,14;0,72;21,08
"15/04/2020 07:00:00";10,78;0,72;21,07
"15/04/2020 08:00:00";10,61;0,72;21,10
"15/04/2020 09:00:00";10,52;0,71;21,10
"15/04/2020 10:00:00";10,53;0,70;21,09
"15/04/2020 11:00:00";10,99;0,70;21,10
"15/04/2020 12:00:00";11,83;0,70;21,13
"15/04/2020 13:00:00";12,73;0,71;21,16
"15/04/2020 14:00:00";13,59;0,69;21,15
"15/04/2020 15:00:00";14,44;0,70;21,14
"15/04/2020 16:00:00";15,25;0,70;21,14
"15/04/2020 17:00:00";15,90;0,69;21,14
"15/04/2020 18:00:00";16,58;0,69;21,15
"15/04/2020 19:00:00";16,81;0,69;21,25
"15/04/2020 20:00:00";16,22;0,68;21,22
"15/04/2020 21:00:00";15,73;0,67;21,23
"15/04/2020 22:00:00";15,25;0,68;21,23
"15/04/2020 23:00:00";14,82;0,68;21,21
"16/04/2020 00:00:00";14,41;0,68;21,21
"16/04/2020 01:00:00";14,04;0,66;21,22
"16/04/2020 02:00:00";13,74;0,67;21,22
"16/04/2020 03:00:00";13,49;0,65;21,23
"16/04/2020 04:00:00";13,24;0,65;21,22
"16/04/2020 05:00:00";13,05;0,65;21,23
"16/04/2020 06:00:00";13,02;0,65;21,25
"16/04/2020 07:00:00";13,03;0,64;21,26
"16/04/2020 08:00:00";12,89;0,64;21,25
"16/04/2020 09:00:00";12,96;0,64;21,24
"16/04/2020 10:00:00";13,18;0,64;21,25
"16/04/2020 11:00:00";13,75;0,65;21,26
"16/04/2020 12:00:00";14,49;0,65;21,28
"16/04/2020 13:00:00";15,29;0,65;21,30
"16/04/2020 14:00:00";16,19;0,65;21,31
"16/04/2020 15:00:00";17,05;0,65;21,30
"16/04/2020 16:00:00";17,93;0,64;21,30
"16/04/2020 17:00:00";18,65;0,65;21,28
"16/04/2020 18:00:00";19,15;0,64;21,27
"16/04/2020 19:00:00";19,38;0,64;21,27
"16/04/2020 20:00:00";19,41;0,63;21,28
"16/04/2020 21:00:00";19,31;0,64;21,30
"16/04/2020 22:00:00";19,11;0,66;21,32
"16/04/2020 23:00:00";18,41;0,65;21,22
"17/04/2020 00:00:00";17,92;0,64;21,29
"17/04/2020 01:00:00";17,50;0,63;21,31
"17/04/2020 02:00:00";17,17;0,63;21,31
"17/04/2020 03:00:00";16,90;0,62;21,32
"17/04/2020 04:00:00";16,65;0,62;21,32
"17/04/2020 05:00:00";16,44;0,63;21,33
"17/04/2020 06:00:00";16,39;0,63;21,33
"17/04/2020 07:00:00";16,38;0,62;21,32
"17/04/2020 08:00:00";16,37;0,61;21,32
"17/04/2020 09:00:00";16,44;0,62;21,31
"17/04/2020 10:00:00";16,68;0,62;21,18
"17/04/2020 11:00:00";17,08;0,62;21,28
"17/04/2020 12:00:00";17,78;0,62;21,26
"17/04/2020 13:00:00";18,64;0,62;21,27
"17/04/2020 14:00:00";19,05;0,61;21,27
"17/04/2020 15:00:00";19,44;0,60;21,25
"17/04/2020 16:00:00";19,94;0,61;21,25
"17/04/2020 17:00:00";20,25;0,60;21,25
"17/04/2020 18:00:00";20,61;0,60;21,25
"17/04/2020 19:00:00";20,49;0,60;21,24
"17/04/2020 20:00:00";20,36;0,59;21,22
"17/04/2020 21:00:00";19,96;0,60;21,21
"17/04/2020 22:00:00";19,28;0,61;21,16
"17/04/2020 23:00:00";18,75;0,61;21,11
"18/04/2020 00:00:00";18,70;0,61;21,10
"18/04/2020 01:00:00";18,53;0,60;21,09
"18/04/2020 02:00:00";18,18;0,62;21,10
"18/04/2020 03:00:00";17,69;0,60;21,04
"18/04/2020 04:00:00";17,31;0,60;21,04
"18/04/2020 05:00:00";16,96;0,62;21,03
"18/04/2020 06:00:00";16,68;0,61;21,03
"18/04/2020 07:00:00";16,40;0,60;21,04
"18/04/2020 08:00:00";16,22;0,61;21,03
"18/04/2020 09:00:00";16,17;0,61;21,04
"18/04/2020 10:00:00";16,39;0,61;21,04
"18/04/2020 11:00:00";16,97;0,63;21,07
"18/04/2020 12:00:00";18,04;0,63;21,06
"18/04/2020 13:00:00";19,19;0,63;21,07
"18/04/2020 14:00:00";20,27;0,62;21,07
"18/04/2020 15:00:00";21,34;0,61;21,08
"18/04/2020 16:00:00";22,29;0,61;21,07
"18/04/2020 17:00:00";22,95;0,61;21,06
"18/04/2020 18:00:00";23,48;0,61;21,05
"18/04/2020 19:00:00";23,28;0,61;21,02
"18/04/2020 20:00:00";22,63;0,62;20,99
"18/04/2020 21:00:00";21,33;0,62;20,94
"18/04/2020 22:00:00";20,50;0,62;20,98
"18/04/2020 23:00:00";19,70;0,63;21,02
