"STPSxx-SPCT Inductif_31029_20181008_102238.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"06/09/2018 18:00:00";22,09;0,68;40,05
"06/09/2018 19:00:00";21,85;0,68;40,06
"06/09/2018 20:00:00";21,42;0,69;40,07
"06/09/2018 21:00:00";20,93;0,69;40,10
"06/09/2018 22:00:00";20,55;0,69;40,11
"06/09/2018 23:00:00";20,20;0,69;40,12
"07/09/2018 00:00:00";19,87;0,68;40,13
"07/09/2018 01:00:00";19,47;0,68;40,15
"07/09/2018 02:00:00";19,17;0,69;40,17
"07/09/2018 03:00:00";18,94;0,69;40,17
"07/09/2018 04:00:00";18,68;0,68;40,20
"07/09/2018 05:00:00";18,48;0,69;40,21
"07/09/2018 06:00:00";18,17;0,69;40,23
"07/09/2018 07:00:00";17,95;0,70;40,23
"07/09/2018 08:00:00";17,87;0,72;40,26
"07/09/2018 09:00:00";17,69;0,72;40,26
"07/09/2018 10:00:00";17,75;0,70;40,26
"07/09/2018 11:00:00";18,04;0,70;40,26
"07/09/2018 12:00:00";18,68;0,72;40,26
"07/09/2018 13:00:00";19,50;0,70;40,27
"07/09/2018 14:00:00";20,26;0,70;40,29
"07/09/2018 15:00:00";21,12;0,69;40,30
"07/09/2018 16:00:00";21,95;0,67;40,33
"07/09/2018 17:00:00";22,72;0,67;40,37
"07/09/2018 18:00:00";23,14;0,67;40,41
"07/09/2018 19:00:00";23,01;0,68;40,47
"07/09/2018 20:00:00";22,55;0,67;40,49
"07/09/2018 21:00:00";22,04;0,68;40,51
"07/09/2018 22:00:00";21,55;0,69;40,51
"07/09/2018 23:00:00";21,05;0,70;40,53
"08/09/2018 00:00:00";20,65;0,70;40,55
"08/09/2018 01:00:00";20,23;0,72;40,57
"08/09/2018 02:00:00";19,78;0,72;40,58
"08/09/2018 03:00:00";19,56;0,72;40,60
"08/09/2018 04:00:00";19,29;0,70;40,60
"08/09/2018 05:00:00";19,01;0,72;40,60
"08/09/2018 06:00:00";18,69;0,70;40,62
"08/09/2018 07:00:00";18,43;0,72;40,64
"08/09/2018 08:00:00";18,30;0,72;40,61
"08/09/2018 09:00:00";18,16;0,72;40,65
"08/09/2018 10:00:00";17,98;0,73;40,61
"08/09/2018 11:00:00";18,15;0,70;40,62
"08/09/2018 12:00:00";18,46;0,72;40,62
"08/09/2018 13:00:00";19,29;0,70;40,61
"08/09/2018 14:00:00";20,43;0,68;40,63
"08/09/2018 15:00:00";21,34;0,68;40,66
"08/09/2018 16:00:00";22,06;0,69;40,69
"08/09/2018 17:00:00";22,36;0,66;40,68
"08/09/2018 18:00:00";22,45;0,67;40,70
"08/09/2018 19:00:00";22,36;0,66;40,73
"08/09/2018 20:00:00";22,10;0,67;40,76
"08/09/2018 21:00:00";21,78;0,68;40,78
"08/09/2018 22:00:00";21,48;0,69;40,78
"08/09/2018 23:00:00";21,00;0,69;40,76
"09/09/2018 00:00:00";20,69;0,68;40,75
"09/09/2018 01:00:00";20,34;0,69;40,75
"09/09/2018 02:00:00";20,00;0,68;40,77
"09/09/2018 03:00:00";19,61;0,70;40,78
"09/09/2018 04:00:00";19,30;0,69;40,78
"09/09/2018 05:00:00";18,94;0,70;40,78
"09/09/2018 06:00:00";18,66;0,68;40,80
"09/09/2018 07:00:00";18,39;0,69;40,83
"09/09/2018 08:00:00";18,13;0,70;40,83
"09/09/2018 09:00:00";18,06;0,70;40,82
"09/09/2018 10:00:00";18,11;0,69;40,81
"09/09/2018 11:00:00";18,38;0,72;40,79
"09/09/2018 12:00:00";18,72;0,70;40,79
"09/09/2018 13:00:00";19,29;0,70;40,80
"09/09/2018 14:00:00";20,07;0,70;40,80
"09/09/2018 15:00:00";20,92;0,70;40,79
"09/09/2018 16:00:00";21,77;0,68;40,81
"09/09/2018 17:00:00";22,42;0,69;40,82
"09/09/2018 18:00:00";22,83;0,68;40,83
"09/09/2018 19:00:00";22,89;0,68;40,88
"09/09/2018 20:00:00";22,63;0,67;40,91
"09/09/2018 21:00:00";22,18;0,69;40,92
"09/09/2018 22:00:00";21,81;0,70;40,95
"09/09/2018 23:00:00";21,49;0,72;40,94
"10/09/2018 00:00:00";21,11;0,70;40,95
"10/09/2018 01:00:00";20,74;0,70;40,98
"10/09/2018 02:00:00";20,45;0,72;40,98
"10/09/2018 03:00:00";20,13;0,73;41,00
"10/09/2018 04:00:00";19,91;0,72;41,01
"10/09/2018 05:00:00";19,70;0,73;41,02
"10/09/2018 06:00:00";19,50;0,72;41,02
"10/09/2018 07:00:00";19,30;0,74;41,03
"10/09/2018 08:00:00";19,09;0,74;41,05
"10/09/2018 09:00:00";18,89;0,74;41,05
"10/09/2018 10:00:00";18,66;0,82;38,03
"10/09/2018 11:00:00";19,25;0,90;40,93
"10/09/2018 12:00:00";19,45;0,92;40,01
"10/09/2018 13:00:00";20,16;0,91;39,67
"10/09/2018 14:00:00";21,83;0,89;40,65
"10/09/2018 15:00:00";22,80;0,89;40,83
"10/09/2018 16:00:00";23,72;0,87;40,88
