"STPSxx-SPCT Inductif_31031_20200131_143318.csv"
"Claire Julien"
"sn :";31031
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (°C)";"Profondeur 30m (m)";"Salinité (g/l)"
"26/12/2019 15:00:00";17,52;0,28;0,01
"26/12/2019 16:00:00";9,03;0,95;27,29
"26/12/2019 17:00:00";9,05;0,97;27,33
"26/12/2019 18:00:00";9,09;0,98;27,32
"26/12/2019 19:00:00";9,14;0,98;27,34
"26/12/2019 20:00:00";9,25;1,08;28,10
"26/12/2019 21:00:00";9,36;1,18;28,68
"26/12/2019 22:00:00";9,38;1,11;28,18
"26/12/2019 23:00:00";9,48;1,09;28,19
"27/12/2019 00:00:00";9,55;1,09;28,18
"27/12/2019 01:00:00";9,58;1,08;28,19
"27/12/2019 02:00:00";9,61;1,08;28,19
"27/12/2019 03:00:00";9,59;1,08;28,24
"27/12/2019 04:00:00";9,59;1,06;28,26
"27/12/2019 05:00:00";9,61;1,08;28,25
"27/12/2019 06:00:00";9,63;1,09;28,24
"27/12/2019 07:00:00";9,66;1,08;28,20
"27/12/2019 08:00:00";9,71;1,11;28,32
"27/12/2019 09:00:00";9,83;1,24;29,05
"27/12/2019 10:00:00";9,85;1,21;29,29
"27/12/2019 11:00:00";9,87;1,17;29,08
"27/12/2019 12:00:00";9,91;1,18;29,06
"27/12/2019 13:00:00";10,06;1,16;29,02
"27/12/2019 14:00:00";10,22;1,16;29,00
"27/12/2019 15:00:00";10,36;1,16;28,96
"27/12/2019 16:00:00";10,39;1,16;28,94
"27/12/2019 17:00:00";10,33;1,16;28,93
"27/12/2019 18:00:00";10,31;1,16;28,92
"27/12/2019 19:00:00";10,22;1,17;28,85
"27/12/2019 20:00:00";10,21;1,16;28,85
"27/12/2019 21:00:00";10,16;1,22;28,65
"27/12/2019 22:00:00";10,15;1,14;28,75
"27/12/2019 23:00:00";10,15;1,13;28,75
"28/12/2019 00:00:00";10,15;1,13;28,75
"28/12/2019 01:00:00";10,14;1,14;28,73
"28/12/2019 02:00:00";10,14;1,13;28,73
"28/12/2019 03:00:00";10,14;1,12;28,73
"28/12/2019 04:00:00";10,14;1,12;28,74
"28/12/2019 05:00:00";10,13;1,11;28,73
"28/12/2019 06:00:00";10,14;1,12;28,73
"28/12/2019 07:00:00";10,14;1,12;28,69
"28/12/2019 08:00:00";10,14;1,11;28,70
"28/12/2019 09:00:00";10,04;1,20;28,32
"28/12/2019 10:00:00";9,92;1,26;29,45
"28/12/2019 11:00:00";10,04;1,18;29,17
"28/12/2019 12:00:00";10,19;1,20;29,04
"28/12/2019 13:00:00";10,32;1,16;28,98
"28/12/2019 14:00:00";10,67;1,16;28,98
"28/12/2019 15:00:00";10,91;1,16;28,99
"28/12/2019 16:00:00";10,79;1,15;28,98
"28/12/2019 17:00:00";10,70;1,15;28,90
"28/12/2019 18:00:00";10,60;1,15;28,84
"28/12/2019 19:00:00";10,51;1,14;28,83
"28/12/2019 20:00:00";10,50;1,14;28,84
"28/12/2019 21:00:00";10,45;1,13;28,82
"28/12/2019 22:00:00";10,35;1,09;28,89
"28/12/2019 23:00:00";10,26;1,05;28,82
"29/12/2019 00:00:00";10,33;1,06;28,84
"29/12/2019 01:00:00";10,33;1,06;28,84
"29/12/2019 02:00:00";10,33;1,05;28,84
"29/12/2019 03:00:00";10,32;1,05;28,82
"29/12/2019 04:00:00";10,32;1,05;28,84
"29/12/2019 05:00:00";10,16;1,04;28,86
"29/12/2019 06:00:00";9,87;1,02;28,87
"29/12/2019 07:00:00";9,41;1,03;28,84
"29/12/2019 08:00:00";9,13;1,01;28,79
"29/12/2019 09:00:00";8,98;1,01;28,76
"29/12/2019 10:00:00";8,19;1,10;28,86
"29/12/2019 11:00:00";8,48;1,03;28,91
"29/12/2019 12:00:00";8,49;1,02;28,74
"29/12/2019 13:00:00";8,51;1,00;28,68
"29/12/2019 14:00:00";8,66;1,00;28,69
"29/12/2019 15:00:00";8,65;0,99;28,74
"29/12/2019 16:00:00";8,56;0,98;28,58
"29/12/2019 17:00:00";8,87;0,99;28,69
"29/12/2019 18:00:00";8,98;0,99;28,77
"29/12/2019 19:00:00";8,95;0,99;28,78
"29/12/2019 20:00:00";8,84;1,00;28,77
"29/12/2019 21:00:00";8,75;0,99;28,77
"29/12/2019 22:00:00";8,39;0,97;28,77
"29/12/2019 23:00:00";8,09;0,97;28,73
"30/12/2019 00:00:00";6,92;0,92;28,45
"30/12/2019 01:00:00";6,88;0,90;28,44
