"STPSxx-SPCT Inductif_35007_20191105_103048.csv"
"Claire Maxime"
"sn :";35007
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (°C)";"Profondeur 30m (m)";"Salinité (g/l)"
"18/10/2019 11:00:00";12,73;0,65;31,78
"18/10/2019 12:00:00";12,98;0,66;31,76
"18/10/2019 13:00:00";13,43;0,65;31,79
"18/10/2019 14:00:00";13,83;0,65;31,79
"18/10/2019 15:00:00";14,13;0,64;31,82
"18/10/2019 16:00:00";14,24;0,63;31,83
"18/10/2019 17:00:00";14,11;0,63;31,85
"18/10/2019 18:00:00";14,01;0,63;31,86
"18/10/2019 19:00:00";13,89;0,62;31,87
"18/10/2019 20:00:00";13,78;0,61;31,89
"18/10/2019 21:00:00";13,66;0,60;31,89
"18/10/2019 22:00:00";13,56;0,59;31,90
"18/10/2019 23:00:00";13,48;0,59;31,90
"19/10/2019 00:00:00";13,42;0,58;31,90
"19/10/2019 01:00:00";13,32;0,58;31,92
"19/10/2019 02:00:00";13,24;0,58;31,92
"19/10/2019 03:00:00";13,16;0,57;31,93
"19/10/2019 04:00:00";13,08;0,57;31,93
"19/10/2019 05:00:00";13,01;0,56;31,93
"19/10/2019 06:00:00";12,89;0,56;31,93
"19/10/2019 07:00:00";12,79;0,56;31,94
"19/10/2019 08:00:00";12,70;0,56;31,94
"19/10/2019 09:00:00";12,63;0,55;31,95
"19/10/2019 10:00:00";12,65;0,56;31,94
"19/10/2019 11:00:00";12,76;0,56;31,94
"19/10/2019 12:00:00";13,08;0,55;31,93
"19/10/2019 13:00:00";13,45;0,55;31,93
"19/10/2019 14:00:00";13,84;0,54;31,92
"19/10/2019 15:00:00";14,21;0,54;31,92
"19/10/2019 16:00:00";14,42;0,54;31,94
"19/10/2019 17:00:00";14,47;0,54;31,96
"19/10/2019 18:00:00";14,48;0,53;31,96
"19/10/2019 19:00:00";14,42;0,53;31,97
"19/10/2019 20:00:00";14,31;0,53;31,98
"19/10/2019 21:00:00";14,21;0,54;31,98
"19/10/2019 22:00:00";14,12;0,54;31,97
"19/10/2019 23:00:00";14,01;0,54;31,98
"20/10/2019 00:00:00";13,95;0,54;31,99
"20/10/2019 01:00:00";13,87;0,54;31,99
"20/10/2019 02:00:00";13,75;0,53;31,99
"20/10/2019 03:00:00";13,65;0,53;31,99
"20/10/2019 04:00:00";13,58;0,53;32,00
"20/10/2019 05:00:00";13,50;0,53;31,99
"20/10/2019 06:00:00";13,46;0,53;32,00
"20/10/2019 07:00:00";13,38;0,53;31,99
"20/10/2019 08:00:00";13,31;0,53;32,00
"20/10/2019 09:00:00";13,19;0,53;32,00
"20/10/2019 10:00:00";13,10;0,53;31,99
"20/10/2019 11:00:00";13,11;0,53;32,00
"20/10/2019 12:00:00";13,19;0,53;31,99
"20/10/2019 13:00:00";13,30;0,53;31,99
"20/10/2019 14:00:00";13,47;0,53;31,99
"20/10/2019 15:00:00";13,59;0,53;32,00
"20/10/2019 16:00:00";13,66;0,53;32,01
"20/10/2019 17:00:00";13,66;0,53;32,01
"20/10/2019 18:00:00";13,70;0,53;32,01
"20/10/2019 19:00:00";13,64;0,53;32,02
"20/10/2019 20:00:00";13,55;0,53;32,02
"20/10/2019 21:00:00";13,40;0,53;32,02
"20/10/2019 22:00:00";13,30;0,53;32,03
"20/10/2019 23:00:00";13,18;0,54;32,03
"21/10/2019 00:00:00";13,05;0,54;32,02
"21/10/2019 01:00:00";12,92;0,53;32,03
"21/10/2019 02:00:00";12,82;0,53;32,04
"21/10/2019 03:00:00";12,67;0,54;32,05
"21/10/2019 04:00:00";12,53;0,54;32,04
"21/10/2019 05:00:00";12,43;0,54;32,04
"21/10/2019 06:00:00";12,33;0,55;32,04
"21/10/2019 07:00:00";12,21;0,55;32,05
"21/10/2019 08:00:00";12,15;0,55;32,06
"21/10/2019 09:00:00";12,09;0,56;32,04
"21/10/2019 10:00:00";12,09;0,57;32,05
"21/10/2019 11:00:00";12,25;0,57;32,01
"21/10/2019 12:00:00";12,43;0,58;32,03
"21/10/2019 13:00:00";12,77;0,58;32,00
"21/10/2019 14:00:00";13,07;0,57;32,01
"21/10/2019 15:00:00";13,38;0,57;32,01
"21/10/2019 16:00:00";13,48;0,57;32,05
"21/10/2019 17:00:00";13,64;0,57;32,04
"21/10/2019 18:00:00";13,71;0,57;32,04
"21/10/2019 19:00:00";13,70;0,57;32,06
"21/10/2019 20:00:00";13,62;0,57;32,06
"21/10/2019 21:00:00";13,51;0,57;32,06
"21/10/2019 22:00:00";13,42;0,57;32,07
"21/10/2019 23:00:00";13,29;0,57;32,07
"22/10/2019 00:00:00";13,13;0,57;32,08
"22/10/2019 01:00:00";12,97;0,57;32,07
"22/10/2019 02:00:00";12,79;0,56;32,08
"22/10/2019 03:00:00";12,62;0,56;32,08
"22/10/2019 04:00:00";12,45;0,56;32,08
"22/10/2019 05:00:00";12,28;0,55;32,09
"22/10/2019 06:00:00";12,19;0,55;32,08
"22/10/2019 07:00:00";12,13;0,55;32,08
"22/10/2019 08:00:00";11,99;0,55;32,09
"22/10/2019 09:00:00";11,83;0,55;32,09
"22/10/2019 10:00:00";11,78;0,55;32,07
"22/10/2019 11:00:00";11,95;0,55;32,06
"22/10/2019 12:00:00";12,26;0,54;32,04
"22/10/2019 13:00:00";12,76;0,54;32,04
"22/10/2019 14:00:00";13,24;0,53;32,04
"22/10/2019 15:00:00";13,60;0,53;32,06
"22/10/2019 16:00:00";13,84;0,52;32,08
"22/10/2019 17:00:00";14,04;0,51;32,10
"22/10/2019 18:00:00";14,16;0,50;32,09
"22/10/2019 19:00:00";14,10;0,49;32,10
"22/10/2019 20:00:00";13,94;0,49;32,11
"22/10/2019 21:00:00";13,75;0,48;32,11
"22/10/2019 22:00:00";13,52;0,47;32,12
"22/10/2019 23:00:00";13,37;0,47;32,12
"23/10/2019 00:00:00";13,18;0,47;32,12
